1,1,1,-57.076,-9.562,77.439,40.9,-45.294,-13.291,65.235
2,2,1,-39.895,-28.880,93.294,38.9,-31.830,-30.739,74.684
3,2,2,-20.119,-48.819,100.055,40.2,-16.580,-44.226,81.225
4,3,1,-20.290,-8.513,97.940,41.0,-17.361,-8.338,78.157
5,3,2,-1.124,-29.306,103.979,39.9,-5.237,-28.362,79.643
6,3,3,19.132,-8.372,98.259,40.7,16.564,-9.052,78.182
7,4,2,20.095,-48.636,100.077,40.4,16.721,-44.006,81.195
8,4,3,39.401,-28.293,93.506,39.2,31.895,-29.659,74.270
9,5,3,55.859,-8.634,78.224,40.9,44.131,-12.083,66.243
10,6,4,-41.387,58.420,48.855,30.5,-32.292,47.635,39.196
11,6,5,-25.784,72.446,43.739,38.2,-22.993,59.062,33.118
12,6,6,-15.837,63.087,62.131,30.4,-10.534,50.217,49.291
13,7,5,-9.708,83.305,30.011,20.1,-9.965,68.548,24.257
14,7,6,0.193,75.250,49.430,39.8,1.593,57.715,37.889
15,7,7,9.190,83.330,30.141,19.8,9.385,68.829,23.714
16,8,6,14.824,63.339,62.240,30.2,9.969,50.953,48.589
17,8,7,24.996,73.070,43.252,38.0,21.723,59.387,32.923
18,8,8,41.232,59.179,48.129,30.3,32.230,48.803,38.145
